"Receipts of fossil fuels by electricity plants for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/12?agg=0,1&fuel=f007&geo=vvvvvvvvvvvvo&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Feb 15 2021 12:52:56 GMT+0330 (Iran Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Wisconsin : coal","thousand tons","ELEC.RECEIPTS.COW-WI-99.A",26551,23686,24531,24087,20003,22602,22159,23020,18929,19719,18272,14587
"Wisconsin : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-WI-99.A",3032,1960,2241,3480,1499,1867,2380,1069,1139,727,516,594
"Wisconsin : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-WI-99.A",23519,21726,22290,20607,18503,20735,19779,21951,17790,18992,17756,13993
"Wisconsin : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-WI-99.A",372,124,89,97,56,99,115,77,51,53,86,51
"Wisconsin : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-WI-99.A",468,410,346,279,182,163,171,111,66,54,60,45
"Wisconsin : natural gas","thousand mcf","ELEC.RECEIPTS.NG-WI-99.A",49141,48662,49428,55124,87126,58688,58501,98416,114750,101296,121477,143803
"West North Central",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"West North Central : coal","thousand tons","ELEC.RECEIPTS.COW-WNC-99.A",156070,148815,150810,151975,139220,133327,137428,139057,117202,116890,115190,106926
"West North Central : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-WNC-99.A",3610,3328,2689,2471,1553,1087,1348,1572,1001,1153,1164,1060
"West North Central : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-WNC-99.A",128633,121626,125455,127383,116022,110270,113252,114458,94382,92369,90003,83985
"West North Central : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-WNC-99.A",23827,23861,22666,22120,21645,21971,22828,23027,21819,23368,24023,21882
"West North Central : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-WNC-99.A",1000,"NM","NM",726,542,500,612,437,402,453,575,617
"West North Central : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-WNC-99.A",172,69,95,27,0,0,0,0,0,85,71,73
"West North Central : natural gas","thousand mcf","ELEC.RECEIPTS.NG-WNC-99.A","NM",119973,133719,125986,157891,121439,96722,133003,179892,171237,225291,267715
"Iowa",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Iowa : coal","thousand tons","ELEC.RECEIPTS.COW-IA-99.A",27801,26300,26626,26839,24436,20286,19375,22411,18041,15347,15309,15988
"Iowa : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-IA-99.A",1182,1179,683,818,452,389,432,476,386,411,391,445
"Iowa : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-IA-99.A",26619,25121,25943,26021,23984,19897,18943,21935,17655,14936,14917,15543
"Iowa : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-IA-99.A",186,129,204,160,187,127,99,78,106,101,117,115
"Iowa : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-IA-99.A",58,9,49,25,0,0,0,0,0,85,71,73
"Iowa : natural gas","thousand mcf","ELEC.RECEIPTS.NG-IA-99.A",21458,17625,13899,10751,18348,17012,16383,24510,31395,49009,64610,67408
"Kansas",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Kansas : coal","thousand tons","ELEC.RECEIPTS.COW-KS-99.A",21533,20348,20503,20216,17919,18424,18068,17888,14425,12272,12592,11291
"Kansas : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-KS-99.A",216,265,293,253,245,224,348,269,201,180,204,128
"Kansas : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-KS-99.A",21317,20083,20210,19963,17675,18200,17719,17620,14224,12091,12388,11163
"Kansas : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-KS-99.A",100,76,94,96,73,103,89,89,41,115,105,146
"Kansas : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-KS-99.A",55,48,44,3,0,0,0,0,"--","--","--","--"
"Kansas : natural gas","thousand mcf","ELEC.RECEIPTS.NG-KS-99.A",26780,32204,27872,30590,26639,15620,13175,11865,17007,17988,23736,23307
"Minnesota",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Minnesota : coal","thousand tons","ELEC.RECEIPTS.COW-MN-99.A",19860,17922,17480,18304,13125,13266,16913,17220,12471,12946,12904,11460
"Minnesota : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-MN-99.A",240,133,94,116,21,3,0,0,0,0,0,0
"Minnesota : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-MN-99.A",19620,17789,17386,18188,13104,13263,16913,17220,12471,12946,12904,11460
"Minnesota : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-MN-99.A","--","--","--","--","--",0,0,0,0,0,0,0
